11-05,2.8,5.7,9.0,13.2,19.1,24.2,0.0,0.0,0.7,17,70
12-05,1.9,5.9,12.1,12.5,19.0,24.2,0.0,0.0,0.0,93,68
13-05,2.6,6.2,9.5,15.5,19.7,24.8,0.0,0.0,0.1,220,64
14-05,2.6,6.4,8.8,7.6,19.0,24.5,0.0,0.0,2.6,337,67
15-05,-0.7,6.8,10.8,15.3,20.3,24.9,0.0,0.0,5.4,792,72
16-05,1.5,6.8,10.1,7.9,17.8,24.2,0.0,0.0,1.8,560,72
17-05,3.4,5.6,10.1,8.2,16.6,23.6,0.0,0.0,5.2,625,80
18-05,3.0,6.1,12.2,9.3,16.5,22.6,0.0,0.0,5.5,243,74
19-05,2.1,6.6,11.9,10.6,16.4,22.6,0.0,0.0,1.2,103,74
20-05,4.2,6.6,10.8,9.5,17.0,23.0,0.0,0.0,2.7,625,74
21-05,3.4,6.7,11.0,7.1,16.8,23.3,0.0,0.0,3.0,1030,78
22-05,2.2,6.4,11.7,11.8,17.6,23.0,0.0,0.0,0.7,763,75
23-05,2.6,7.3,11.0,13.0,18.2,24.6,0.0,0.0,2.1,528,78
24-05,1.7,7.3,12.8,16.0,19.6,25.2,0.0,0.0,0.2,0,76
25-05,1.7,6.9,12.8,17.4,21.2,26.6,0.0,0.0,2.1,33,73
26-05,3.8,8.0,12.2,18.2,22.3,25.1,0.0,0.0,0.4,158,72
27-05,5.5,8.6,11.9,17.0,22.7,28.5,0.0,0.0,1.6,188,74
28-05,5.9,9.1,12.3,14.1,20.7,28.2,0.0,0.0,2.7,480,84
29-05,4.2,7.7,10.1,13.5,20.7,28.2,0.0,0.0,1.2,308,82
30-05,3.0,8.2,11.9,14.3,18.9,24.5,0.0,0.0,1.0,105,73
31-05,2.3,8.7,14.8,14.9,18.7,23.8,0.0,0.0,0.0,178,69
01-06,1.9,5.8,9.9,13.9,19.7,25.1,0.0,0.0,1.4,153,74
02-06,3.4,8.3,12.6,16.4,20.2,23.9,0.0,0.0,0.8,145,76
03-06,6.7,8.7,11.2,15.8,19.2,22.6,0.0,0.0,0.5,638,77
04-06,7.2,8.8,10.6,13.0,18.3,21.3,0.0,0.0,3.2,335,81
05-06,5.4,8.1,9.7,13.2,17.5,23.0,0.0,0.0,4.4,698,87
06-06,3.4,8.6,12.4,15.0,19.4,22.1,0.0,0.0,0.5,598,80
07-06,3.4,8.4,12.9,15.4,20.7,25.2,0.0,0.0,2.0,505,79
08-06,6.7,10.6,14.8,14.5,21.3,27.9,0.0,0.0,0.6,225,74
09-06,6.7,9.9,14.0,16.0,21.6,27.2,0.0,0.0,0.6,0,72
10-06,5.9,9.4,13.3,17.2,22.4,27.5,0.0,0.0,0.2,0,75
11-06,4.8,9.8,14.9,18.4,23.5,28.2,0.0,0.0,0.7,0,79
12-06,5.9,10.3,15.8,16.6,23.0,29.0,0.05,0.0,0.9,125,85
13-06,6.5,10.0,16.8,14.9,21.8,26.9,0.05,0.0,0.4,0,79
14-06,4.2,10.0,16.0,18.8,22.5,29.6,0.05,0.0,0.2,0,71
15-06,5.2,9.6,16.5,16.2,21.7,28.2,0.05,0.0,3.6,0,79
16-06,1.9,8.9,16.9,16.9,22.8,29.6,0.05,0.0,0.1,0,79
17-06,3.8,9.6,16.2,21.7,25.1,28.2,0.05,0.0,0.0,13,76
18-06,6.7,11.1,16.1,23.2,26.2,29.0,0.05,0.0,0.1,0,73
19-06,5.9,10.1,12.7,19.3,23.6,27.8,0.05,0.0,5.7,715,84
20-06,7.2,10.7,13.3,16.6,22.9,28.8,0.05,0.0,0.1,425,80
21-06,7.6,10.3,12.4,14.9,22.2,29.9,0.05,0.0,3.3,373,87
22-06,7.5,9.6,11.8,11.8,21.7,29.2,0.05,0.0,1.2,720,78
23-06,7.3,8.9,11.1,14.7,22.8,31.3,0.1,0.0,0.0,145,76
24-06,7.5,9.8,12.0,14.4,23.2,31.3,0.1,0.0,0.0,80,71
25-06,6.3,8.4,10.2,11.3,22.2,31.6,0.1,0.0,0.2,0,71
26-06,7.8,9.8,12.7,15.6,23.1,31.6,0.1,0.0,2.1,0,74
27-06,7.8,9.3,10.8,17.7,22.9,29.2,0.05,0.0,0.1,65,74
28-06,8.0,10.2,11.9,18.4,22.1,27.4,0.05,0.0,0.0,0,74
29-06,6.1,9.3,11.1,18.9,22.5,27.2,0.05,0.0,1.2,223,78
30-06,6.1,9.5,11.5,18.9,22.8,28.2,0.05,0.0,0.2,740,77
01-07,6.3,10.4,12.5,18.9,23.6,28.2,0.05,0.0,0.0,390,73
02-07,9.3,11.7,13.5,18.6,22.4,26.8,0.05,0.0,6.7,180,78
03-07,6.7,10.7,13.5,20.7,23.7,28.1,0.05,0.0,0.3,0,73
04-07,7.4,10.8,14.0,19.0,23.4,26.8,0.05,0.0,0.0,140,73
05-07,6.3,9.6,13.8,20.6,23.2,27.5,0.05,0.0,0.1,38,70
